0,900450225112556278,
,1,810770231720134127,
,2,730021866357981243,
,3,657315604970763669,
,4,591850497155119035,
,5,532905362863463072,
,6,479830847711881449,
,7,432042269529369498,
,8,389013177352387048,
,9,350269551909000188,
,10,315384583703688614,
,11,283973971176891070,
,12,255691687142635096,
,13,230226166866266179,
,14,207296875789184453,
,15,186651219089783778,
,16,168061759035541356,
,17,151323709471910559,
,18,136252679846678200,
,19,122682643917392697,
,20,110464110764634704,
,21,99462477962553625,
,22,89556548764783606,
,23,80637196970687125,
,24,72606164763757847,
,25,65374980278869070,
,26,58863982974017068,
,27,53001446069809999,
,28,47722786389275692,
,29,42969852893385434,
,30,38690286074622648,
,31,34836941151515333,
,32,31367368709898560,
,33,28243347069520918,
,34,25430461224428139,
,35,22897723718625570,
,36,20617233280490697,
,37,18563867455366777,
,38,16715005850301161,
,39,15050280942122894,
,40,13551353703698911,
,41,12201711576611356,
,42,10986486564672395,
,43,9892291444349030,
,44,8907072287750896,
,45,8019975673537259,
,46,7221229122905289,
,47,6502033443512444,
,48,5854465795366616,
,49,5271392410833586,
,50,4746390007263476,
,51,4273675026498000,
,52,3848039921743164,
,53,3464795789927633,
,54,3119720717570431,
,55,2809013271123100,
,56,2529250619424256,
,57,2277350826933008,
,58,2050538902354026,
,59,1846316228637416,
,60,1662433037586598,
,61,1496863625847565,
,62,1347784039252650,
,63,1213551979683938,
,64,1092688713105273,
,65,983862779457225,
,66,885875324959120,
,67,797646895235095,
,68,718205543773947,
,69,646676124722582,
,70,582270652059796,
,71,524279618944622,
,72,472064181611012,
,73,425049121704677,
,74,382716509533421,
,75,344599998423744,
,76,310279687328916,
,77,279377495093733,
,78,251552995417677,
,79,226499666633402,
,80,203941514987173,
,81,183630034222442,
,82,165341467972600,
,83,148874344804720,
,84,134047258759718,
,85,120696870938806,
,86,108676110121221,
,87,97852552590760,
,88,88106963322915,
,89,79331982461932,
,90,71430942617716,
,91,64316803953611,
,92,57911195333733,
,93,52143550966878,
,94,46950333036065,
,95,42274331750012,
,96,38064035105720,
,97,34273061419335,
,98,30859648373879,
,99,27786192955095,
,100,25018837207208,
,101,22527095245194,
,102,20283517414624,
,103,18263387899385,
,104,16444452446049,
,105,14806673205439,
,106,13332007990655,
,107,12004211519817,
,108,10808656453964,
,109,9732172258625,
,110,8762900113900,
,111,7890162274731,
,112,7104344442183,
,113,6396789849914,
,114,5759703899068,
,115,5186068291017,
,116,4669563712024,
,117,4204500218098,
,118,3785754553143,
,119,3408713709885,
,120,3069224111825,
,121,2763545856400,
,122,2488311515279,
,123,2240489037926,
,124,2017348349772,
,125,1816431277028,
,126,1635524466827,
,127,1472635004374,
,128,1325968458493,
,129,1193909113729,
,130,1075002171217,
,131,967937722255,
,132,871536318017,
,133,784735976457,
,134,706580483240,
,135,636208857851,
,136,572845868812,
,137,515793493545,
,138,464423228774,
,139,418169166777,
,140,376521761206,
,141,339022213796,
,142,305257420126,
,143,274855418760,
,144,247481293626,
,145,222833484496,
,146,200640464922,
,147,180657751034,
,148,162665208243,
,149,146464626187,
,150,131877535188,
,151,118743240194,
,152,106917050518,
,153,96268685887,
,154,86680841245,
,155,78047894492,
,156,70274742921,
,157,63275755543,
,158,56973829760,
,159,51299541975,
,160,46190382812,
,161,41590068491,
,162,37447920796,
,163,33718308790,
,164,30360146130,
,165,27336438455,
,166,24613875842,
,167,22162465860,
,168,19955203160,
,169,17967771983,
,170,16178278289,
,171,14567008566,
,172,13116212664,
,173,11809908249,
,174,10633704747,
,175,9574644803,
,176,8621061548,
,177,7762450069,
,178,6989351687,
,179,6293249756,
,180,5666475843,
,181,5102125249,
,182,4593980947,
,183,4136445091,
,184,3724477351,
,185,3353539388,
,186,3019544857,
,187,2718814389,
,188,2448035062,
,189,2204223903,
,190,1984695028,
,191,1787030050,
,192,1609051445,
,193,1448798553,
,194,1304505990,
,195,1174584192,
,196,1057601908,
,197,952270432,
,198,857429405,
,199,772034037,
,200,695143588,
,201,625911016,
,202,563573637,
,203,507444726,
,204,456905954,
,205,411400572,
,206,370427282,
,207,333534712,
,208,300316444,
,209,270406537,
,210,243475497,
,211,219226644,
,212,197392846,
,213,177733577,
,214,160032267,
,215,144093911,
,216,129742931,
,217,116821231,
,218,105186463,
,219,94710456,
,220,85277802,
,221,76784591,
,222,69137257,
,223,62251557,
,224,56051636,
,225,50469194,
,226,45442733,
,227,40916880,
,228,36841779,
,229,33172535,
,230,29868728,
,231,26893963,
,232,24215469,
,233,21803738,
,234,19632203,
